; Candidate function boundaries for /home/andrew/netgearr8000/v2-staging/firmware/brcmfmac43602-pcie.ap.bin
; Detection: Thumb-2 'push {..,lr}' prologue -> nearest following
; 'pop {..,pc}' or 'bx lr' epilogue (approx=1 means no clean
; epilogue was found before the next prologue; end offset is the
; next prologue's start as a fallback boundary).
; Total candidates: 1879
; offset_start   offset_end  size_bytes  approx
0x00aa62  0x00aaea       136  0
0x00aaec  0x00ab1c        48  0
0x00ab30  0x00ac54       292  0
0x00ac58  0x00ac9e        70  0
0x00ac9e  0x00acca        44  0
0x00acca  0x00acf4        42  0
0x00acf6  0x00ad0c        22  0
0x00ad0c  0x00ad3a        46  0
0x00ad70  0x00addc       108  0
0x00addc  0x00adea        14  0
0x00adea  0x00ae9e       180  0
0x00ae9e  0x00aecc        46  1
0x00aecc  0x00afee       290  0
0x00b00a  0x00b08e       132  1
0x00b08e  0x00b0b8        42  0
0x00b0ba  0x00b0de        36  0
0x00b100  0x00b174       116  0
0x00b1ec  0x00b220        52  0
0x00b220  0x00b262        66  0
0x00b262  0x00b280        30  0
0x00b282  0x00b39c       282  0
0x00b39c  0x00b470       212  0
0x00b478  0x00b4aa        50  0
0x00b4b0  0x00b4f6        70  0
0x00b524  0x00b5fe       218  0
0x00b604  0x00b738       308  0
0x00b73c  0x00b776        58  1
0x00b776  0x00b868       242  0
0x00b868  0x00b89c        52  0
0x00b89c  0x00b90e       114  0
0x00b92c  0x00b950        36  1
0x00b950  0x00b96e        30  0
0x00b96e  0x00b992        36  0
0x00b9a0  0x00ba12       114  0
0x00ba18  0x00ba3a        34  0
0x00ba52  0x00ba7c        42  0
0x00babe  0x00bb64       166  0
0x00bb66  0x00bbb2        76  0
0x00bbb2  0x00bc3c       138  0
0x00bc3c  0x00bc4c        16  0
0x00bc50  0x00bcde       142  0
0x00bce2  0x00bd14        50  0
0x00bd14  0x00bd48        52  0
0x00bd4a  0x00bd5c        18  0
0x00bd72  0x00bda2        48  0
0x00bda8  0x00bdd4        44  0
0x00bdd4  0x00be18        68  0
0x00be84  0x00beca        70  0
0x00becc  0x00bf4c       128  0
0x00bf52  0x00bfc4       114  0
0x00c030  0x00c042        18  0
0x00c042  0x00c0d8       150  0
0x00c0e0  0x00c150       112  0
0x00c188  0x00c1c6        62  0
0x00c1cc  0x00c26c       160  0
0x00c270  0x00c37c       268  0
0x00c394  0x00c600       620  0
0x00c604  0x00c63e        58  0
0x00c6dc  0x00c718        60  0
0x00c71c  0x00c7a6       138  0
0x00c7a8  0x00c818       112  0
0x00c826  0x00c884        94  0
0x00c884  0x00c93a       182  0
0x00c944  0x00c9bc       120  0
0x00c9cc  0x00ca36       106  0
0x00ca36  0x00cb42       268  0
0x00cb44  0x00cbb2       110  0
0x00ccb0  0x00cd24       116  0
0x00cd2c  0x00cd42        22  0
0x00cd46  0x00cd84        62  0
0x00cd84  0x00ce08       132  1
0x00ce08  0x00ceb0       168  0
0x00ceb8  0x00cf8e       214  0
0x00cf98  0x00cfe6        78  0
0x00cffe  0x00d016        24  0
0x00d018  0x00d256       574  0
0x00d25c  0x00d7f8      1436  0
0x00d7fc  0x00d866       106  0
0x00d868  0x00da2a       450  0
0x00da40  0x00da4c        12  0
0x00dab0  0x00db46       150  0
0x00db4c  0x00dbb6       106  0
0x00dbb8  0x00de2a       626  0
0x00de36  0x00dfa2       364  0
0x00dfa8  0x00dfe6        62  0
0x00dfea  0x00e038        78  1
0x00e038  0x00e0be       134  0
0x00e0c8  0x00e140       120  1
0x00e140  0x00e388       584  1
0x00e388  0x00e3a4        28  0
0x00e3a8  0x00e4fe       342  0
0x00e504  0x00e510        12  0
0x00e510  0x00e52c        28  0
0x00e52c  0x00e5e4       184  0
0x00e638  0x00e652        26  0
0x00e698  0x00e6c2        42  0
0x00e6cc  0x00e9ac       736  0
0x00e9ac  0x00e9e2        54  0
0x00eaf4  0x00eb18        36  1
0x00eb18  0x00f8f0      3544  0
0x00f904  0x00f968       100  0
0x00f968  0x00fc60       760  0
0x00fc68  0x00fcb2        74  0
0x00fcf8  0x00fdf0       248  0
0x00fdf0  0x00feb6       198  0
0x00fed0  0x0102bc      1004  0
0x0102c6  0x010328        98  0
0x010336  0x0103b6       128  0
0x0103c0  0x010464       164  0
0x010464  0x010568       260  0
0x010568  0x010620       184  0
0x010620  0x010852       562  0
0x010858  0x01091c       196  0
0x01091c  0x010aca       430  0
0x010ad0  0x010b6e       158  0
0x010b6e  0x010c76       264  0
0x010c78  0x010eda       610  0
0x010ef0  0x011234       836  0
0x01123a  0x01126e        52  0
0x011270  0x0115ce       862  0
0x0115d0  0x01172c       348  0
0x01172c  0x0118f8       460  0
0x011908  0x0120b6      1966  0
0x0120bc  0x0120fc        64  0
0x0120fe  0x0121d0       210  0
0x0121d0  0x012244       116  0
0x012244  0x012260        28  1
0x012260  0x0122fc       156  1
0x0122fc  0x012324        40  0
0x012324  0x01238c       104  0
0x01238c  0x0124be       306  0
0x0124be  0x0125c8       266  0
0x0125c8  0x012768       416  0
0x01276c  0x0127b0        68  1
0x0127b0  0x012838       136  0
0x012838  0x0128c2       138  0
0x0128c2  0x01297a       184  0
0x01297c  0x012a24       168  0
0x012a28  0x012c84       604  0
0x012c84  0x012d3a       182  0
0x012d64  0x012dda       118  0
0x012ddc  0x013058       636  0
0x013064  0x0131d2       366  0
0x01328c  0x01347a       494  0
0x01347a  0x0134fa       128  0
0x0134fc  0x01353e        66  0
0x013548  0x013fda      2706  0
0x013fe4  0x014b98      2996  0
0x014c0c  0x014cb2       166  1
0x014cb2  0x014f58       678  0
0x014f58  0x015058       256  0
0x01505c  0x015078        28  0
0x0150ec  0x0151c4       216  0
0x0151d0  0x015306       310  0
0x01530e  0x01536c        94  0
0x015376  0x0153fe       136  0
0x015400  0x01552e       302  0
0x015548  0x0155a2        90  0
0x0155a2  0x015cf4      1874  0
0x015d00  0x015d24        36  0
0x015d24  0x016004       736  0
0x016018  0x01606c        84  1
0x01606c  0x0164c4      1112  0
0x0164d0  0x016870       928  0
0x01687e  0x016b82       772  0
0x016b82  0x016fa0      1054  0
0x016fa0  0x017376       982  0
0x017376  0x017d22      2476  0
0x017d22  0x017db0       142  0
0x017db0  0x017dfa        74  0
0x017dfc  0x018394      1432  0
0x0183a0  0x0184cc       300  1
0x0184cc  0x0188c0      1012  0
0x0188c8  0x018db0      1256  0
0x018db4  0x019460      1708  0
0x019470  0x019dbe      2382  0
0x019dce  0x019f8c       446  1
0x019f8c  0x01a05c       208  0
0x01a06c  0x01a096        42  0
0x01a096  0x01a0f0        90  0
0x01a100  0x01a120        32  0
0x01a12a  0x01a21c       242  0
0x01a21c  0x01a326       266  0
0x01a32a  0x01a430       262  0
0x01a434  0x01a502       206  0
0x01a504  0x01a528        36  0
0x01a540  0x01a554        20  0
0x01a554  0x01a5be       106  0
0x01a5f4  0x01a618        36  0
0x01a620  0x01a65e        62  0
0x01a65e  0x01a702       164  0
0x01a704  0x01a72c        40  0
0x01a760  0x01a7a6        70  0
0x01a7a6  0x01a86e       200  0
0x01a86e  0x01a88c        30  0
0x01a8a6  0x01a8de        56  0
0x01a986  0x01a996        16  0
0x01a996  0x01a9a6        16  0
0x01a9a6  0x01a9b2        12  0
0x01a9b2  0x01a9ca        24  0
0x01a9ca  0x01aa44       122  0
0x01aa48  0x01aa72        42  1
0x01aa72  0x01aa8c        26  1
0x01aa8c  0x01aab4        40  0
